year,conspiracy_qanon,far_right_extremism,incel_misogyny,meme_internet_culture,platform_tech,politics_elections,violence_crime
2017,0.05555555555555555,0.16666666666666666,0.0,0.0,0.1111111111111111,0.05555555555555555,0.6111111111111112
2018,0.12,0.2,0.24,0.04,0.08,0.16,0.16
2019,0.0,0.21212121212121213,0.24242424242424243,0.16666666666666666,0.10606060606060606,0.015151515151515152,0.25757575757575757
2020,0.47058823529411764,0.029411764705882353,0.11764705882352941,0.14705882352941177,0.029411764705882353,0.14705882352941177,0.058823529411764705
2021,0.15,0.3,0.05,0.15,0.25,0.0,0.1
2022,0.05,0.55,0.05,0.0,0.0,0.2,0.15
2023,0.0,0.625,0.0,0.25,0.125,0.0,0.0
2024,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.5,0.08333333333333333
2025,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385
2026,0.0,0.2,0.0,0.7333333333333333,0.0,0.0,0.06666666666666667
